,max_depth,criterion,min_samples_split,min_samples_leaf,accuracy,f1
0,4,gini,4,1,0.7912087912087912,0.8041237113402062
1,8,gini,2,5,0.8351648351648352,0.8421052631578947
2,6,gini,3,3,0.8681318681318682,0.88
3,7,gini,6,5,0.8351648351648352,0.8421052631578947
4,4,gini,6,7,0.7912087912087912,0.8041237113402062
5,8,gini,7,4,0.8571428571428571,0.8659793814432989
6,9,gini,6,5,0.8351648351648352,0.8421052631578947
7,5,gini,4,7,0.7912087912087912,0.795698924731183
8,5,gini,7,7,0.7912087912087912,0.795698924731183
9,7,gini,8,8,0.7912087912087912,0.8041237113402062
